order_id,product_id,product_name,category,quantity,price,order_date,store_location
1072173f-3c25-4f84-8783-b3a057750abf,P1014,Toothpaste,Oral Care,4,10.65,2025-01-25,Chicago
02a808b6-2bff-48b9-82b7-fa2208321945,P1014,Toothpaste,Oral Care,10,25.28,2024-07-26,New York
179c018f-2f86-4fc6-9cc8-4039d2049678,P1010,Shampoo,Hair Care,8,23.85,2024-12-30,New York
884e2405-b9d8-4032-8b0b-e91a5363a19f,P1001,Fabric Softener,Fabric Care,4,4.51,2024-07-19,New York
138c21ec-8270-47f9-baf5-48f7b88d3b78,P1016,Pain Relief Tablets,Personal Health Care,1,3.93,2025-06-10,New York
2108b613-4b15-49ac-adb2-8ff9a93a3e69,P1010,Shampoo,Hair Care,2,29.84,2025-05-24,New York
421fb201-dc0f-4e2c-9370-b90d6418ae0e,P1019,Shaving Foam,Grooming,2,25.53,2024-07-22,New York
3ed4b9d0-7d82-4511-9653-9e09d63f6e86,P1002,Air Freshener,Home Care,2,27.35,2024-11-26,Chicago
19474f3f-f2ba-4423-ae73-5d10b837030c,P1018,Razor Blades,Grooming,3,2.23,2025-04-21,Chicago
2f2659f7-a05e-4219-9b7c-35a7279a995a,P1005,Baby Lotion,Baby Care,4,25.14,2024-08-12,Chicago
a97d0cd4-a5a5-4879-8868-5607d02dc26c,P1017,Cough Syrup,Personal Health Care,5,19.75,2024-07-20,Los Angeles
032af837-3d37-4c27-9590-ff082a8c958a,P1005,Baby Lotion,Baby Care,5,15.6,2025-02-06,New York
72fa3237-3ed9-44df-bff0-ce3cae1733d5,P1007,Tampons,Feminine Care,8,11.58,2025-05-02,Chicago
8fa4b31f-2289-4756-9780-eeb5ce700b6f,P1014,Toothpaste,Oral Care,3,9.9,2025-06-03,New York
f21036e4-f23a-4d21-b49b-e37d935ad270,P1014,Toothpaste,Oral Care,6,23.13,2024-12-13,Chicago
e5b03332-b552-4d08-9ba7-78667f12d528,P1007,Tampons,Feminine Care,6,2.02,2025-03-01,Chicago
004a0a9c-0c59-4376-adf7-a33641ccaa84,P1002,Air Freshener,Home Care,5,12.3,2024-08-11,New York
cda56ff2-04f0-497f-9ed3-641ff1b45202,P1002,Air Freshener,Home Care,1,17.24,2025-01-03,New York
c66aa111-5c34-40f1-ba24-d030f2c2cb16,P1016,Pain Relief Tablets,Personal Health Care,5,15.98,2024-08-12,Chicago
9dad8415-426e-48e9-ae0f-c32d4e921605,P1001,Fabric Softener,Fabric Care,4,4.94,2025-01-24,Chicago
402f10d1-3fb6-404d-9940-6fefc2a52f32,P1002,Air Freshener,Home Care,9,22.95,2025-02-10,Los Angeles
93c0436b-945c-4284-b018-30d912862e6b,P1008,Facial Tissues,Family Care,1,10.62,2024-12-22,Chicago
c70461a7-28fc-4bb4-9e1f-4c7a911aea55,P1002,Air Freshener,Home Care,10,28.61,2025-01-17,New York
180f67cf-378d-423e-8955-59c0138d6dae,P1001,Fabric Softener,Fabric Care,9,24.92,2024-12-21,Chicago
1674de1d-9bc2-45f1-a5ea-65d043cd5fd0,P1004,Diapers,Baby Care,4,16.35,2025-02-06,Chicago
6f6e9985-406c-480e-a074-c03b800ae5bb,P1003,Floor Cleaner,Home Care,6,2.26,2025-03-27,New York
2abfa6fd-013b-4146-a540-27ea2f0bd460,P1016,Pain Relief Tablets,Personal Health Care,1,5.06,2024-10-01,Los Angeles
7ab8f8ea-bc37-4539-bfca-b0f11c4abbb8,P1010,Shampoo,Hair Care,4,9.79,2024-09-27,Chicago
58b3e6e6-f440-447e-8aff-d6334543c91d,P1010,Shampoo,Hair Care,6,8.47,2025-01-18,Chicago
4b5471c2-96a5-4338-9316-6f289887a22f,P1013,Face Wash,Skin & Personal Care,2,19.72,2024-10-18,New York
5c61ba91-6cc2-4b9e-a25f-e8fa57979814,P1014,Toothpaste,Oral Care,4,2.4,2024-10-10,Chicago
bc75e4c1-77eb-42c2-871e-0b33b831c029,P1016,Pain Relief Tablets,Personal Health Care,5,28.45,2025-02-19,Los Angeles
5b828d04-45ed-4e45-b38b-c8ce682f40dc,P1002,Air Freshener,Home Care,10,4.26,2024-07-23,Chicago
b893a4d5-5c3d-413b-9caf-da65b195038c,P1004,Diapers,Baby Care,1,24.96,2024-07-24,New York
d0e5f6e3-8627-44c3-9cfb-d8043df426d7,P1002,Air Freshener,Home Care,10,14.53,2025-04-26,Los Angeles
66d15443-8d1e-46f1-857a-b2495740f067,P1005,Baby Lotion,Baby Care,3,17.05,2024-09-25,Chicago
1c1265e0-eb12-41ef-ad44-024952fa79bd,P1008,Facial Tissues,Family Care,9,22.75,2024-08-23,New York
31617358-96b7-4cdf-80f6-b1dcf717df22,P1001,Fabric Softener,Fabric Care,7,4.19,2024-08-12,New York
d98966aa-3b7a-4380-9a94-48a319c87d35,P1003,Floor Cleaner,Home Care,3,4.94,2025-04-15,Los Angeles
